Row Labels,Sum of price
100S JEWELRY,488.28
2(X)IST,77
2ndLink,96.17
2XU,77.05
32 Degrees,145.87
"33,000ft",457.26
555Jewelry,69
5Mayi,71.99
7 For All Mankind,579.2
Ababalaya,110.08
ABYS,96
ABYstyle,109
AC&L,86.8
ACCUTIME,588.14
ACESAK,152
Achiou,19.49
ACICS,78
ACICSCK,77.27
Acnos,112.41
ACUYE,277.94
Adando,28.62
ADDIESDIVE,726
ADFOLF,20.98
adidas,58278.66
adidas Originals,759.75
Admetus,144.28
Adorila,19.7
Adulove,322.86
Aegend,18.59
Aelflane,33.48
Aerosoles,196.35
Aganmi,59
AGATHA PARIS,45.16
Aggert,60.98
ÖGON -DESIGNS-,1326
AGUTIUN,14.87
ah arctic hunter,3998.93
Aheli,242.3
AHOVIT,27.06
AIKO,52.91
AIMES,349.84
AioTio,127.46
Airacker,165.08
AIRHAS,702.79
Airrty,102.96
Airwheel,2999
Aisonbo,28
AIYIRUO,125.66
AKAWOOKO,159.55
AKIELO,315.62
Akilex,86.39
Aklsvion,279.99
Aktudy,35
Aktully,25
AL FASCINO,217.79
Al Mandoos,450
Al waha Al zhabia,129.98
ALANX,53.1
aldebran,162.2
ALDO,26977.88
ALEXCRAFT,115.46
Alexis Leroy,129.99
ALEXTINA,132.59
ALFAJR,630
Alimens & Gentle,237.48
ALIPASINM,349.53
Alivila.Y Fashion,26
All Things Accessory,32.89
Alldaily,84
Alldriey,35.99
Allegra K,162.58
Allen Edmonds,768.03
Allett,305.49
ALMEKAQUZ,34.23
Alnorm,84.1
ALPAKA,419.05
ALPIDEX,37
ALPINE INTERNATIONAL,174.56
Alpine Swiss,305.5
ALTRA,787.31
AMANNA,40
Amazfit,505
Amazon Basics,5508.13
Amazon Brand - Arthur Harvey,622.21
Amazon Brand - House & Shields,442.41
Amazon Brand - INKAST,307.06
Amazon Brand - Myx,662.06
Amazon Brand - Symactive,1087.3
Amazon Brand - Symbol,1816.33
Amazon Brand - Tavasya,171.98
Ambar,48.06
Amberta,89
American Eagle,800.75
AMERICAN HEAVEN,178.32
American Tourister,5695.55
AMERTEER,269.95
AMICA,790
Amszke,40
Amussiar,63
AmyRT,75.33
ANALEAF,812
anan520,19.2
Anaqa,90
ANCHOR,35
Anddyam,74.9
Angel Kiss,1821.02
Angelhood,119.12
Angju,268.79
ANHAISHUILV,19.6
Anna by Anuschka,2789.51
Anne Klein,4861.21
ANNEFIT,122.42
ANTARCTICA,255.99
ANTHONY JACKSON,69.9
ANTLER,999
Anycosy,30
ANYOO,86.5
anzhongli,173.3
AO,978.38
AOCATE,475.29
Aolesy,85.74
Aoliks,29.99
AoMige,79.99
Aowin,59.73
AOXONEL,
APAFES,30.11
APAP,108.5
APIKA,27.98
Apooliy,46.89
Aptoco,41
Aputue,110.39
Apzzic,49.06
Arabest,98.73
ARCHAEOPTERYX,181.47
ARCTIX,257.09
Arcweg,134.53
ARENA,793.68
ARIAT,515
Armani Exchange,12434.7
Armbq,75.15
Armitron,336.29
Arnette,76.14
Arnuixty,23.11
Arolina,143.94
ARRIGO BELLO,368.11
Arrow,305.88
ARSUXEO,129.13
ARTOS,117.8
Artthurse,119.45
AS2,178
Asenlin,98.1
ASFEEF,45
ASFUSS,65.68
Ashford Ridge,
Ashioup,78
ASIAN,398.73
ASICS,17534.46
ATBITER,16.47
ATHCO,358.78
ATHLIO,254
athu,18.86
ATTCL,244.84
Audoc,104
AudyKasse,46.36
AUFUYAOLIN,478.41
Auguety,49.99
AUGUR,261
AUSVKAI,27.51
AUTLEY,196.01
AUTOMET,16.61
AUTOYSUR,41.39
AWAYDD,11.58
AWAYTR,146.17
AWH,16.8
AWNL,984
Ay Cabron,85
AYYDMY,22.99
AZFVBQL,207.55
Azonee,3426.78
AZTRONA,45
Azulmart,120.62
B BANGKOK PANTS,195.09
B BLOOMOAK,115.44
Babioboa,61.89
Babolat,353
Babylon Silver,292.6
BAG WIZARD,148.03
BAGAIL,111.27
Baggallini,1664.88
Bagneeds,75
bagsmart,1121.16
BAIGIO,96.09
BAIKELI,55.39
baleaf,375.57
Balega,217.18
BALENNZ,506.2
Balidiya,179.94
BALLY,499
BAMBOS,80.93
BananaHome,526.14
BANGE,745.35
Bansusu,215.92
BAODINI,17.79
BAOHULU,183.48
Baonat,22.68
Baosha,686.7
Bar5F,35.03
BaronHong,90.87
Barsine,116.8
BASSDASH,462.3
Battle,72.74
BAVST,38.9
Beatfull,123.99
Beauenty,153.1
beautlace,177.22
Becokan,109.6
BeeGreen,19.65
befen,400.94
Before & Ever,70.77
Beibi,16.16
beister,107.18
Bellino,130.96
Bellroy,7670
Belovance,67.84
Belts.com,71.17
BEMGNAR,31
BEN NEVIS,189
Ben-Amun Jewelry,194.84
Bencailor,92
BENPAO,127
Bentgo,
Benting,60.1
BERING,185.44
BERNY,407.81
Berry,29
Best Fit,141.39
BESTEEL,40.99
Besttravel,289.95
BetterJonny,32.99
Beulous,96.42
Beurer,102.66
Bewakoof,38
Bexow,116.98
Bhuuno,59.99
Big Bargain Store,20.99
Big Skinny,107.01
BIGTHREE,189.79
Billabong,293.43
Binoster,26
BioMag,134.82
Birds of Passage,45
Birkenstock,5426.07
Bisadon,125.37
BISON DENIM,85.05
Bistup,56.87
BIXPAK,80.12
BIYONGDE,213.82
Bjesinmo,49
Blink Street,201.82
BLITZSOX,94.98
Bloch,189.37
Blowfish Malibu,219.76
Bluboon,334.9
Blue Leather By Centrino,379.13
BLUECHOLON,9
BLUEENJOY,94.07
BLWX,59.99
BLYPHOO,261.96
Bo.Dream,150.53
Boao,73
Bob Marlin,279
BOBO BIRD,125.86
Body Glove,189.98
boffi ...,69
BOLHGF,46.64
BOMAIL,137.48
BONACE,68
BONNY BOXX,77.02
BONVIGOR,73
Boolygo,83.3
BOOMCOOL,169.55
BOOPH,166.71
BORTONY,52.9
BORUO,126.28
BOSCK,273.56
Bosidu,322.5
BOSS,36501.22
Bostanten,2606.85
Bourge,3689.85
Boxiki Travel,229.95
BRABIC,81.89
Branduce,15.9
BRASS TACKS Leathercraft,59.9
Breaksun,64
Briggs & Riley,7986.65
BROKIG,1086.05
Brooks,3273.65
brrf,80
Bryker Hyde,154.14
BSRStation,16.9
Bsubseach,445.53
Btcdove,185.64
BTOOP,123.92
BTS-UAE,85
BTYSUN,46.03
Buckle-Down,83.72
Buckley London,100.5
Buff,90
Buffway,108
bugatti,136.42
Bukela,142.86
BULL GUARD,576.39
BULLCAPTAIN,998.31
BULLIANT,143.07
Bullz,87.7
Bulova,22955.74
Bumkins,60
Burwood,5073.52
Busy Socks,33.76
Buttergene,110.61
Buyboxs,149.99
BY BENYAR,1496.75
BYC,39
C9 Champion,153.14
CAARANY,388
CABINPRO,518
Cacosa,77.22
Cadmus,56.98
CadoZeal,287.45
Caija-H,18.34
Caiyao,74.82
CALFART,111
CALGARI,131.84
CALL IT SPRING,214.85
Callaway,142.78
CALM PLANET,30
Calvin Klein,32113.24
Calvin Klein Jeans,2841.6
Camper,1132.26
CAMRY,43
CAMTOP,557.68
CandyHusky,168
Canterbury,415.28
CANWAY,262.19
Capezio,81.62
Caprese,79.64
CaptainSteeL,67
CaretticO,178
Carfia,225
Carhartt,1797.14
Carrera,1969.64
Casio,98161.54
Castore,157.95
CAT,1689.52
Caweadw,88.89
CAXMAN,113.41
CB Gold Jewelry,48.71
CBLKUS,130.64
Centrino,6881.58
CEP,172.82
Cerruti 1881,627
Cessfle,77
Cestbella,89.38
CG Mobile,89
Chainfo,67.99
ChainsHouse,581.87
ChainsPro,108
Chaks,115.68
Chameleon,144.92
Champion,3821.88
CHANCHY,88
CHANEDE,12
CHANPINCL,209
Chantelle,321.01
CHAOKEELRA,63
Chaps,86.93
Charaland,30
Charles River Apparel,150.71
CHARLES-HUBERT PARIS,379.59
Chase Plus,171.18
CHCH,1857.41
CHCHDIOSA,750.99
Chef Works,337
Chereda,42.29
Cherokee,364.4
ChicAbode,106.98
CHICAROUSAL,355.82
CHIJIANLAN,26.61
ChoiceApparel,403.24
Chopben,87.47
Chriscoco,122.95
Christian Art Gifts,124.8
CHUNG,23.7
CICIMELON,24.01
Cinereplicas,
Citizen,34700.92
Clara,321.64
Clarks,18909.3
CLIFFS BY WHITE MOUNTAIN,86.95
CLOAKA,202.81
CLOUDFOUR,15.99
CLOWSE,369.78
cm Classic MILANO,146.17
CMP,128.6
COACH,45655.78
COAI,432.6
Cobian,257
COCIFER,139.98
Coco Rossi,128.52
COCOSAND,93
Cole Haan,11515.58
COLORFUL BLING,139.47
Colorfulkoala,157.79
Columbia,11694.22
Comfyable,59.99
COMODO,19
COMPRESSPORT,254.97
Conceal Plus,157.02
Concept One,209
constantlife,68.74
CONTACTS,726.09
CONVENIENCE KITS INTERNATIONAL,205.02
Converse,1319.07
COOFANDY,979.41
COOLBABY,111.95
COOLIFE,1369.65
CoolKick,180.89
Coolwife,18.99
Coolz,94.08
Cooper & Nelson,546
coowoz,104.9
Copper Fit,66
Cosmoplast,282.99
CosTribe,133.8
cottonia,44
Cottonil,27.5
Covelin,144.42
COWBI,57.6
COZSEDY,163.36
CozyNook,139.8
Crankbrothers,445.04
Crep Protect,274
CRESSI,1557.99
Crocs,21903.7
Cross,610.55
CROWNAL,235.32
Cryfokt,229.79
CRZ YOGA,1957.45
Csdtylh,67.8
CSIYANJRY99,89.5
CTEW,52.15
Ctoby,49
Cubavera,72.01
CUBY,113.74
CURREN,1110.54
CUSHIONAIRE,625.88
CVFAJI,29.8
CWVLC,67.66
CYDREAM,115.89
Cynure,49.6
CYPBRANDS,158.95
Czgcpyc,29.99
Dado,178.21
DAGACCI,142.58
DAHSHA,167.65
DAIDAISL,25
DAITET,41.12
Dalavch,137.72
Damyuan,137.7
DANGO PRODUCTS,265
DANISH ENDURANCE,181
Dankadi,667.47
Danxancy,29
Darong,79
DAVID ARCHY,162
Dayllon,134.04
DAYUMKOU,131.07
DC,1110.72
DC Comics,153.77
Dcfywl731,53.79
DD D&D Wanderlust,89.02
Debra Weitzner,122.12
DECARSDZ,193
Deer Stags,365.44
DEEZOMO,56.74
DeFacto,178
Defsedar,26.01
DELELE,47.75
DELFINO,113.87
DELIMIRA,179.08
Delopik,20
DELSEY PARIS,13732.7
Demix,99
Deniklo,979.19
Dennis Lingo,55
Dentily,102.56
DerHutzucker,420.9
Designer Inspirations Boutique,
Desigual,299
DESIMTION,20.1
DEVOPS,218.35
DEXMAY DM,235.68
Deyeek,131.01
Deyilong,93
Dgffan,46.5
Diamond Toe,67.21
diasstro,22
DiBanGu,158.7
Dice,132.41
Dickies,473.77
Diesel,6940.86
DiLoro,130.64
diloy,99.91
Dinfix,53.34
Dinghao,119
Dinkum,29
DIOTSR,103.99
DIOWUS,230.92
Disney,1619.84
Disney Frozen,107.92
Distil Union,970.58
DivaGlamz,264.92
Diverse,2381.62
Divine Magic,61.45
DIYOOHOMY,127.99
Dkieuyu,93.18
DKNY,28543.03
DL,228.16
DLMAONN,34.82
DMX,56.65
Dockers,1348.29
DOCTOR EXTRA SOFT,894.3
doeboe,200.88
DOMYUHAO,110.82
DONNAIN,199
DOOKOO,35
DORAIMI123,25.99
Doubleo,29.98
DOUGO,199.8
DOURR,97.9
Dr. Brinkmann,168.74
Dr. Martens,2048.24
Dr. Scholl's,700.97
Dr. Scholl's Shoes,661.59
Dr.Ortho,56.28
DragonWeave,130.66
DreamHigh,18.09
Dreamtimes,90.16
Dress Cici,1151.64
Drowsmen,136.68
DRSKIN,164.78
DSC,48
DSFFD,30.63
D-Sport,56.99
DUBKART,39.39
Dubulle,98.32
Ducks Unlimited,59.01
DUO ZOU LU,434
DuoDiner,395.42
DUOFIER,60
Duofold,56.16
Duomama,11.99
DVRK,191.37
通用,107.2
Eacam,91.29
EACHY,39.1
Ealipoi,76
EASTHILL,70.54
Eastland,95.45
EASTPAK,4737.03
EastSide,287.4
Easy Spirit,614.3
Easyoulife,53.98
eBoutik,29
ECCO,9005.74
Echelon,319.23
Eco Right,52.9
ECO SHINE,20
ECO-FUSED,49.98
ECVV,88.03
EDODAY,83.7
Eesyy,259.35
EEweca,27.88
Efilra,52.64
EINSKEY,155.96
Ejis,654.1
Ekouaer,103
Ekster,1279.15
ELECDON,560.92
Ellesse,19
ELVIS PRESLEY,83.98
Embla,101.28
Eminent,3031.75
EMPIRE TRADING & COMMERCE,16.19
Emporio Armani,13021.54
EMPSIGN,132.99
enhong,49
ENIGMA,186.39
Enjoy Risingsun,93.78
Enkis,50.99
EOUOSS,43.5
EPIMENO,164.63
EPIRORA,146.4
erioctry,71
EROUGE,80.39
Esholife,59.9
ESPRIT,356.8
Esteem Apparel,44
Estele,253.84
ETAISHOW,359.99
Eterjew,151.16
Etnies,212.88
EUTOUR,280
EVBEA,117.72
EVCRIERH,68
EVER BOOTS,145.41
Everfion,46.8
Everfunny,28
EVERWORTH,211.34
EVGLOW,52.56
EVVE,277.02
eWINNER,126.78
Excefore,1752.43
EXCELLENT ELITE SPANKER,81
EXENTRI,388.66
EXNOX,19.7
EXOTIC EAGLE,495
Explore Land,168
EYEBOGLER,76.89
Fabrizio,
FACAXEDRE,38.26
FaithHeart,984.64
Falainetee,99
Falari,24.9
Falcon Jewelry,618.08
FALKE,207.22
FALOGIJE,24.52
FAMARINE,25
Famulily,20.49
FANCIBAND,200.68
FANDARE,200.5
FANMIS,103.99
fantasize,34.76
FANTOM,161.84
Farea's Home,65
FASHGOOD,318.95
Fashion Frill,207.25
Fastrack,1200.7
Faustine,20
FAYERXL,48.68
FBTHJA,63.99
FEIFIRE,6
FEISEDY,63.17
FEIXIANG,39.99
FEMAGIQUE,111.06
FENGJINRUHUA,159
FENLDY,47.99
Feraco,671.87
Fermido,18.7
Ferro Aldo,259
FERROHIDE,31.49
FFHAO,148
FIBO STEEL,68.32
Fifteen Branches,168.66
Fil3rd,169.83
Fila,1308.74
Filthy Food,234.33
FindChic,66
Finnhomy,125
FINPAC,122
FINTIE,392.83
firstsight,568.48
FIS,37.5
Fischer Markenschuh,134.04
Fit & Fresh,141.83
Fitdom,238
FITEXTREME,65
FitFlop,7134.48
FITRELL,97.64
FitVille,469.97
Fiusem,482.23
FIVKAWE,44.99
FIYUK,15.49
Fizik,636.32
Fjällräven,2556.41
FLAXMAKER,44.18
Flexfit,
Flojos,66
Flongo,151.96
Florsheim,3605.29
FLW,144.72
FLYFIREFLY,82.43
FLYMEI,69
FocusGear,140
